Algorithm,Processors,log(m),log(n),minimum weight,maximum weight,graph-type,tree-factor,run time
filter,1,18,10,1,254,gnm,2,17830 
filter,2,18,10,1,254,gnm,2,20719 
filter,4,18,10,1,254,gnm,2,15082 
filter,8,18,10,1,254,gnm,2,31688 
filter,16,18,10,1,254,gnm,2,19570 
filter,32,18,10,1,254,gnm,2,20627 
filter,1,18,10,1,254,gnm,2,17908 
filter,2,18,10,1,254,gnm,2,20676 
filter,4,18,10,1,254,gnm,2,15984 
filter,8,18,10,1,254,gnm,2,30773 
filter,16,18,10,1,254,gnm,2,25113 
filter,32,18,10,1,254,gnm,2,15245 
filter,1,18,10,1,254,gnm,2,17725 
filter,2,18,10,1,254,gnm,2,20624 
filter,4,18,10,1,254,gnm,2,14572 
filter,8,18,10,1,254,gnm,2,30631 
filter,16,18,10,1,254,gnm,2,25514 
filter,32,18,10,1,254,gnm,2,15470 
